,name,make,model,type,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain,price_log
798,2024 Kia Sorento LX,Kia,Sorento,New,2024,33590.0,16V PDI DOHC,4.0,Gasoline,12.0,8-Speed Automatic,LX,SUV,4.0,Ebony Black,Black,Front-wheel Drive,10.421983682606339
52,2024 Hyundai Sonata Hybrid Limited,Hyundai,Sonata Hybrid,New,2024,38870.0,16V GDI DOHC Hybrid,4.0,Hybrid,14.0,6-Speed Automatic,Limited,Sedan,4.0,Portofino Gray,Dark Gray,Front-wheel Drive,10.567978023846269
139,2024 Hyundai Sonata Hybrid SEL,Hyundai,Sonata Hybrid,New,2024,32520.0,16V GDI DOHC Hybrid,4.0,Hybrid,11.0,6-Speed Automatic,SEL,Sedan,4.0,Portofino Gray,Gray,Front-wheel Drive,10.389610563661748
366,2024 Hyundai Sonata Hybrid SEL,Hyundai,Sonata Hybrid,New,2024,32520.0,16V GDI DOHC Hybrid,4.0,Hybrid,10.0,6-Speed Automatic,SEL,Sedan,4.0,Red,Gray,Front-wheel Drive,10.389610563661748
517,2024 Hyundai Sonata Hybrid Limited,Hyundai,Sonata Hybrid,New,2024,38870.0,16V GDI DOHC Hybrid,4.0,Hybrid,5.0,6-Speed Automatic,Limited,Sedan,4.0,Carbon Blue,Black,Front-wheel Drive,10.567978023846269
537,2024 Hyundai Sonata Hybrid Limited,Hyundai,Sonata Hybrid,New,2024,38870.0,16V GDI DOHC Hybrid,4.0,Hybrid,9.0,6-Speed Automatic,Limited,Sedan,4.0,Red,Black,Front-wheel Drive,10.567978023846269
674,2024 Hyundai Sonata Hybrid SEL,Hyundai,Sonata Hybrid,New,2024,33005.0,16V GDI DOHC Hybrid,4.0,Hybrid,13.0,6-Speed Automatic,SEL,Sedan,4.0,White,Black,Front-wheel Drive,10.404414344122872
89,2024 Hyundai Sonata SEL,Hyundai,Sonata,New,2024,28469.0,16V PDI DOHC,4.0,Gasoline,0.0,8-Speed Automatic,SEL,Sedan,4.0,White,Dark Gray,All-wheel Drive,10.256571054962539
128,2024 Subaru Solterra Premium,Subaru,Solterra,New,2024,39934.0,c,0.0,Electric,5.0,1-Speed Automatic,Premium,SUV,4.0,Galactic,Black,All-wheel Drive,10.594983370346842
1001,2024 Chevrolet Silverado 2500 WT,Chevrolet,Silverado 2500,New,2024,48995.0,"8 gasoline direct injection, variable valve control, regu",8.0,Gasoline,31.0,Automatic,WT,Pickup Truck,4.0,Wheatland Yellow,Jet Black,Rear-wheel Drive,10.79947353106992
264,2024 Chevrolet Silverado 2500 LT,Chevrolet,Silverado 2500,New,2024,70190.0,"6.6L V-8 diesel direct injection, intercooled turbo, die",8.0,Diesel,5.0,Automatic,LT,Pickup Truck,4.0,Dark Ash Metallic,Gideon/Very Dark Atmosphere,Four-wheel Drive,11.158961129724467
425,2024 Chevrolet Silverado 1500 Custom Trail Boss,Chevrolet,Silverado 1500,New,2024,57635.0,"5.3L V-8 gasoline direct injection, variable valve contr",8.0,Gasoline,5.0,Automatic,Custom Trail Boss,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,10.961885301035114
467,2024 Chevrolet Silverado 1500 LT Trail Boss,Chevrolet,Silverado 1500,New,2024,65416.0,"5.3L V-8 gasoline direct injection, variable valve contr",8.0,Gasoline,5.0,automatic w/paddle shifters,LT Trail Boss,Pickup Truck,4.0,Slate Gray Metallic,Jet Black,Four-wheel Drive,11.088522155841813
211,2024 Chevrolet Silverado 1500 LT Trail Boss,Chevrolet,Silverado 1500,New,2024,65175.0,24V DDI DOHC Turbo Diesel,6.0,Diesel,0.0,Automatic,LT Trail Boss,Pickup Truck,4.0,Slate Gray Metallic,Jet Black,Four-wheel Drive,11.084831238801703
786,2024 Chevrolet Silverado 1500 LT Trail Boss,Chevrolet,Silverado 1500,New,2024,63145.0,24V DDI DOHC Turbo Diesel,6.0,Diesel,5.0,10-Speed Automatic,LT Trail Boss,Pickup Truck,4.0,Slate Gray Metallic,Black,Four-wheel Drive,11.05318894808027
882,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,58720.0,24V DDI DOHC Turbo Diesel,6.0,Diesel,0.0,Automatic,LT,Pickup Truck,4.0,Sterling Gray Metallic,Jet Black,Four-wheel Drive,10.980535663288396
36,2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,New,2024,58610.0,16V GDI OHV,8.0,Gasoline,0.0,Automatic,RST,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,10.978660609470476
103,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49496.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.809647137210824
106,2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,New,2024,54559.0,16V GDI OHV,8.0,Gasoline,148.0,Automatic,RST,Pickup Truck,4.0,Sterling Gray Metallic,Jet Black,Four-wheel Drive,10.907037963903628
119,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49628.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Radiant Red,Jet Black,Four-wheel Drive,10.812310469562762
308,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49944.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Radiant Red,Jet Black,Four-wheel Drive,10.81865765674158
400,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49632.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Radiant Red,Jet Black,Four-wheel Drive,10.812391065976266
485,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49496.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,10.809647137210824
513,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49180.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,10.803242315770184
584,2024 Chevrolet Silverado 1500 ZR2,Chevrolet,Silverado 1500,New,2024,76475.0,16V GDI OHV,8.0,Gasoline,2.0,10-Speed Automatic,ZR2,Pickup Truck,4.0,Summit White,Gray,Four-wheel Drive,11.244719169019104
588,2024 Chevrolet Silverado 1500 Custom Trail Boss,Chevrolet,Silverado 1500,New,2024,47650.0,16V GDI OHV,8.0,Gasoline,5.0,10-Speed Automatic,Custom Trail Boss,Pickup Truck,4.0,Summit White,Black,Four-wheel Drive,10.771637909082347
621,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,49229.0,16V GDI OHV,8.0,Gasoline,17.0,Automatic,LT,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.80423815972855
672,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,50058.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,LT,Pickup Truck,4.0,Radiant Red,Jet Black,Four-wheel Drive,10.82093761213013
701,2024 Chevrolet Silverado 1500 WT,Chevrolet,Silverado 1500,New,2024,47410.0,16V GDI OHV,8.0,Gasoline,5.0,10-Speed Automatic,WT,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,10.766588455896164
731,2024 Chevrolet Silverado 1500 RST,Chevrolet,Silverado 1500,New,2024,88478.0,16V GDI OHV,8.0,Gasoline,2.0,Automatic,RST,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,11.390509212522387
744,2024 Chevrolet Silverado 1500 Custom Trail Boss,Chevrolet,Silverado 1500,New,2024,54190.0,16V GDI OHV,8.0,Gasoline,5.0,10-Speed Automatic,Custom Trail Boss,Pickup Truck,4.0,Dark Ash Metallic,Black,Four-wheel Drive,10.90025166856016
102,2024 Chevrolet Silverado 1500 Custom,Chevrolet,Silverado 1500,New,2024,44161.0,16V GDI DOHC Turbo,4.0,Gasoline,2.0,8-Speed Automatic,Custom,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.69559732562212
104,2024 Chevrolet Silverado 1500 WT,Chevrolet,Silverado 1500,New,2024,43475.0,16V GDI DOHC Turbo,4.0,Gasoline,2.0,Automatic,WT,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.679941339222484
486,2024 Chevrolet Silverado 1500 LT,Chevrolet,Silverado 1500,New,2024,43135.0,16V GDI DOHC Turbo,4.0,Gasoline,9.0,Automatic,LT,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.67209001151068
654,2024 Chevrolet Silverado 1500 Custom,Chevrolet,Silverado 1500,New,2024,42947.0,16V GDI DOHC Turbo,4.0,Gasoline,5.0,8-Speed Automatic,Custom,Pickup Truck,4.0,Red,Black,Rear-wheel Drive,10.667722076311636
905,2024 Chevrolet Silverado 1500 Custom,Chevrolet,Silverado 1500,New,2024,50565.0,16V GDI DOHC Turbo,4.0,Gasoline,0.0,8-Speed Automatic,Custom,Pickup Truck,4.0,Black,Jet Black,Four-wheel Drive,10.83101491633627
269,2024 GMC Sierra 3500 SLT,GMC,Sierra 3500,New,2024,87075.0,der,8.0,Diesel (B20 capable),9.0,10-Speed Shiftable Automatic,SLT,Pickup Truck,4.0,Sterling Metallic,Dark Walnut / Slate,Four-wheel Drive,11.374525095234201
720,2024 GMC Sierra 3500 Denali,GMC,Sierra 3500,New,2024,102287.0,32V DDI OHV Turbo Diesel,8.0,Diesel,4.0,10-Speed Automatic,Denali,Pickup Truck,4.0,Summit White,Jet Black,Four-wheel Drive,11.535537866640873
317,2024 GMC Sierra 2500 Denali,GMC,Sierra 2500,New,2024,85845.0,32V DDI OHV Turbo Diesel,8.0,Diesel,2.0,10-Speed Automatic,Denali,Pickup Truck,4.0,White Frost Tri-Coat,Jet Black,Four-wheel Drive,11.360298623511312
677,2024 GMC Sierra 2500 Denali,GMC,Sierra 2500,New,2024,90220.0,32V DDI OHV Turbo Diesel,8.0,Diesel,0.0,10-Speed Automatic,Denali,Pickup Truck,4.0,Onyx Black,Jet Black,Four-wheel Drive,11.410006410962387
769,2024 GMC Sierra 2500 Denali Ultimate,GMC,Sierra 2500,New,2024,96860.0,32V DDI OHV Turbo Diesel,8.0,Diesel,0.0,10-Speed Automatic,Denali Ultimate,Pickup Truck,4.0,White Frost Tri-Coat,Alpine Umber,Four-wheel Drive,11.48102191595722
745,2024 GMC Sierra 2500 Pro,GMC,Sierra 2500,New,2024,47763.0,16V GDI OHV,8.0,Gasoline,0.0,10-Speed Automatic,Pro,Pickup Truck,2.0,Summit White,Jet Black,Rear-wheel Drive,10.774006560164114
955,2024 GMC Sierra 2500 Pro,GMC,Sierra 2500,New,2024,48268.0,16V GDI OHV,8.0,Gasoline,3.0,10-Speed Automatic,Pro,Pickup Truck,2.0,Summit White,Jet Black,Rear-wheel Drive,10.784524094193491
759,2024 GMC Sierra 1500 SLT,GMC,Sierra 1500,New,2024,59466.0,16V GDI OHV,8.0,Gasoline,0.0,10-Speed Automatic,SLT,Pickup Truck,4.0,Volcanic Red,Jet Black,Four-wheel Drive,10.993159999634763
784,2024 GMC Sierra 1500 Denali Ultimate,GMC,Sierra 1500,New,2024,84405.0,16V GDI OHV,8.0,Gasoline,12.0,10-Speed Automatic,Denali Ultimate,Pickup Truck,4.0,White Frost Tri-Coat,Alpine Umber,Four-wheel Drive,11.343381920535489
707,2024 Nissan Sentra SV,Nissan,Sentra,New,2024,21637.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,4.0,Automatic,SV,Sedan,4.0,Gun Metallic,Charcoal,Front-wheel Drive,9.98216009118743
37,2024 Kia Seltos EX,Kia,Seltos,New,2024,29640.0,16V MPFI DOHC,4.0,Gasoline,16.0,Automatic CVT,EX,SUV,4.0,Steel Gray,Black,All-wheel Drive,10.296880079410023
454,2024 Kia Seltos S,Kia,Seltos,New,2024,28630.0,16V MPFI DOHC,4.0,Gasoline,15.0,Automatic CVT,S,SUV,4.0,Snow White Pearl,Black,All-wheel Drive,10.262210398092162
708,2024 Kia Seltos S,Kia,Seltos,New,2024,28535.0,16V MPFI DOHC,4.0,Gasoline,15.0,Automatic CVT,S,SUV,4.0,White,Black,All-wheel Drive,10.25888668297081
134,2024 GMC Savana 2500 Work Van,GMC,Savana 2500,New,2024,44595.0,"6 gasoline direct injection, variable valve control, regu",6.0,Gasoline,3.0,Automatic,Work Van,Cargo Van,3.0,Summit White,Black,Rear-wheel Drive,10.705377024100308
169,2024 GMC Savana 2500 Work Van,GMC,Savana 2500,New,2024,44620.0,"6 gasoline direct injection, variable valve control, regu",6.0,Gasoline,12.0,Automatic,Work Van,Cargo Van,3.0,SILVER,Black,Rear-wheel Drive,10.705937467986523
378,2024 GMC Savana 2500 Work Van,GMC,Savana 2500,New,2024,42990.0,12V GDI OHV,6.0,Gasoline,0.0,8-Speed Automatic,Work Van,Cargo Van,3.0,Summit White,Medium Pewter,Rear-wheel Drive,10.668722809490328
124,2024 Hyundai Santa Fe Calligraphy,Hyundai,Santa Fe,New,2024,49905.0,Turbo DOHC,4.0,Gasoline,1.0,Automatic,Calligraphy,SUV,4.0,Green,Black,All-wheel Drive,10.817876477120686
190,2024 Hyundai Santa Fe XRT,Hyundai,Santa Fe,New,2024,42455.0,Turbo DOHC,4.0,Gasoline,1.0,Automatic,XRT,SUV,4.0,Shimmering Silver,Black,All-wheel Drive,10.656199970433464
215,2024 Hyundai Santa Fe SE 2.4,Hyundai,Santa Fe,New,2024,38100.0,Turbo DOHC,4.0,Gasoline,1.0,Automatic,SE 2.4,SUV,4.0,White,Gray,All-wheel Drive,10.547969561114792
12,2024 Hyundai Santa Cruz 2.5T Limited,Hyundai,Santa Cruz,New,2024,43419.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,4.0,Atlas,Dark Gray,All-wheel Drive,10.678652412305714
15,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,38574.0,16V PDI DOHC Turbo,4.0,Gasoline,12.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Blue Stone,Black,All-wheel Drive,10.560333753369742
183,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,42015.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Blue Stone,Black,All-wheel Drive,10.645781976362318
232,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,42064.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Phantom Black,Black,All-wheel Drive,10.646947546969663
256,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,41995.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Sage Gray,Black,All-wheel Drive,10.645305842559727
348,2024 Hyundai Santa Cruz 2.5T NIGHT,Hyundai,Santa Cruz,New,2024,40380.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Phantom Black,Black,All-wheel Drive,10.606089891866828
352,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,36000.0,16V PDI DOHC Turbo,4.0,Gasoline,10.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Atlas,Black,All-wheel Drive,10.491274217438248
364,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,41975.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Phantom Black,Black,All-wheel Drive,10.644829481945742
468,2024 Hyundai Santa Cruz 2.5T Limited,Hyundai,Santa Cruz,New,2024,43299.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,4.0,Phantom Black,Dark Gray,All-wheel Drive,10.675884819035673
530,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,36499.0,16V PDI DOHC Turbo,4.0,Gasoline,10.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Phantom Black,Black,All-wheel Drive,10.505040141934996
558,2024 Hyundai Santa Cruz 2.5T NIGHT,Hyundai,Santa Cruz,New,2024,40449.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Hampton Gray,Black,All-wheel Drive,10.607797200302183
664,2024 Hyundai Santa Cruz 2.5T XRT,Hyundai,Santa Cruz,New,2024,41955.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T XRT,Pickup Truck,4.0,Atlas,Black,All-wheel Drive,10.64435289430417
678,2024 Hyundai Santa Cruz 2.5T Limited,Hyundai,Santa Cruz,New,2024,40375.0,16V PDI DOHC Turbo,4.0,Gasoline,13.0,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,4.0,Atlas,Black,All-wheel Drive,10.605966060524958
739,2024 Hyundai Santa Cruz 2.5T NIGHT,Hyundai,Santa Cruz,New,2024,40434.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Hampton Gray,Black,All-wheel Drive,10.607426294174273
757,2024 Hyundai Santa Cruz 2.5T Limited,Hyundai,Santa Cruz,New,2024,43684.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T Limited,Pickup Truck,4.0,Phantom Black,Black,All-wheel Drive,10.684737181317619
823,2024 Hyundai Santa Cruz 2.5T NIGHT,Hyundai,Santa Cruz,New,2024,40375.0,16V PDI DOHC Turbo,4.0,Gasoline,1.0,8-Speed Automatic with Auto-Shift,2.5T NIGHT,Pickup Truck,4.0,Hampton Gray,Black,All-wheel Drive,10.605966060524958
24,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,33160.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Blue Stone,Black,All-wheel Drive,10.409099609249232
181,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,34330.0,16V PDI DOHC,4.0,Gasoline,11.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Atlas,Gray,All-wheel Drive,10.443774886451738
184,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,32925.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Blue Stone,Black,All-wheel Drive,10.401987526611482
228,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,37325.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Sage Gray,Gray,All-wheel Drive,10.52741862240739
325,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,36970.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Atlas,Black,All-wheel Drive,10.517862051930678
526,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,37100.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Phantom Black,Gray,All-wheel Drive,10.521372248595526
616,2024 Hyundai Santa Cruz 2.5L SEL,Hyundai,Santa Cruz,New,2024,31610.0,16V PDI DOHC,4.0,Gasoline,3.0,8-Speed Automatic,2.5L SEL,Pickup Truck,4.0,Sage Gray,Black,All-wheel Drive,10.361228805209663
755,2024 Hyundai Santa Cruz 2.5L SE,Hyundai,Santa Cruz,New,2024,30490.0,16V PDI DOHC,4.0,Gasoline,1.0,8-Speed Automatic,2.5L SE,Pickup Truck,4.0,Atlas,Gray,All-wheel Drive,10.3251540399823
447,2024 Audi SQ8 e-tron Premium Plus,Audi,SQ8 e-tron,New,2024,106215.0,c,0.0,Electric,12.0,Automatic,Premium Plus,SUV,4.0,Mythos Black Metallic,Black,All-wheel Drive,11.573220620753984
94,2024 Audi SQ5 Premium Plus,Audi,SQ5,New,2024,47165.0,oled Turbo Premium Unleaded V-6 3.0 L/183,6.0,Gasoline,14.0,Automatic,Premium Plus,SUV,4.0,Ultra Blue Metallic,Black,All-wheel Drive,10.761407371083953
896,2024 Volvo S60 Recharge Plug-In Hybrid T8 Plus Dark Theme,Volvo,S60 Recharge Plug-In Hybrid,New,2024,57545.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,3.0,8-Speed Automatic,T8 Plus Dark Theme,Sedan,4.0,Onyx Black Metallic,Charcoal,All-wheel Drive,10.96032252940259
72,2024 Nissan Rogue SV,Nissan,Rogue,New,2024,35975.0,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3.0,Gasoline,4.0,Automatic,SV,SUV,4.0,Gun Metallic,Charcoal,All-wheel Drive,10.490579531755568
74,2024 Nissan Rogue SV,Nissan,Rogue,New,2024,36405.0,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3.0,Gasoline,5.0,Automatic,SV,SUV,4.0,Deep Ocean Blue Pearl,Charcoal,All-wheel Drive,10.502461406828811
82,2024 Nissan Rogue SL,Nissan,Rogue,New,2024,41180.0,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3.0,Gasoline,3.0,Automatic,SL,SUV,4.0,Boulder Gray Pearl,Charcoal,All-wheel Drive,10.62570798058178
300,2024 Nissan Rogue SV,Nissan,Rogue,New,2024,34305.0,"o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl",3.0,Gasoline,4.0,Automatic,SV,SUV,4.0,Deep Ocean Blue Pearl,Charcoal,All-wheel Drive,10.443046395124991
93,2024 Ford Ranger XL,Ford,Ranger,New,2024,38740.0,16V GDI DOHC Turbo,4.0,Gasoline,8.0,10-Speed Automatic,XL,Pickup Truck,4.0,Carbonized Gray Metallic,Ebony,Four-wheel Drive,10.564627936960987
312,2024 Land Rover Range Rover Evoque Dynamic SE,Land Rover,Range Rover Evoque,New,2024,62145.0,16V GDI DOHC Turbo,4.0,Gasoline,19.0,9-Speed Automatic,Dynamic SE,SUV,4.0,Arroios Grey,Ebony,All-wheel Drive,11.037225643179612
207,2024 Lexus RX 500h F SPORT PERFORMANCE,Lexus,RX 500h,New,2024,73270.0,16V PDI DOHC Turbo Hybrid,4.0,Hybrid,21.0,6-Speed Automatic,F SPORT PERFORMANCE,SUV,4.0,Caviar,Black,All-wheel Drive,11.20190652715401
323,2024 Audi RS e-tron GT quattro,Audi,RS e-tron GT,New,2024,153690.0,c ZEV,0.0,Electric,10.0,1-Speed Automatic,quattro,Sedan,4.0,Tactical Green Metallic,Black,All-wheel Drive,11.942692865601357
729,2024 Toyota RAV4 Prime XSE,Toyota,RAV4 Prime,New,2024,50209.0,16V PDI DOHC Hybrid,4.0,Hybrid,0.0,Automatic CVT,XSE,SUV,4.0,Silver Sky Metallic,Black,All-wheel Drive,10.823949572479094
167,2024 INFINITI QX50 LUXE,INFINITI,QX50,New,2024,48350.0,"o 2L I-4 port/direct injection, DOHC, variable valve cont",4.0,Gasoline,3.0,Variable,LUXE,SUV,4.0,Slate Gray,Pebble Gray,Front-wheel Drive,10.78622150088144
335,2024 INFINITI QX50 LUXE,INFINITI,QX50,New,2024,45055.0,"o 2L I-4 port/direct injection, DOHC, variable valve cont",4.0,Gasoline,25.0,Variable,LUXE,SUV,4.0,Black Obsidian,Pebble Gray,Front-wheel Drive,10.715639244669138
799,2024 INFINITI QX50 LUXE,INFINITI,QX50,New,2024,46855.0,"o 2L I-4 port/direct injection, DOHC, variable valve cont",4.0,Gasoline,11.0,Variable,LUXE,SUV,4.0,Radiant White,Pebble Gray,Front-wheel Drive,10.754813005557924
687,2024 INFINITI QX50 SPORT,INFINITI,QX50,New,2024,49404.0,ER,4.0,Gasoline,7.0,(CVT) CONT VAR.,SPORT,SUV,4.0,Radiant White,Monaco Red,Front-wheel Drive,10.807786671557905
50,2024 Audi Q8 e-tron S line Premium,Audi,Q8 e-tron,New,2024,86670.0,c,0.0,Electric,5.0,Automatic,S line Premium,SUV,4.0,Glacier White Metallic,Pearl Beige,All-wheel Drive,11.36986308212839
116,2024 Audi Q8 e-tron Premium,Audi,Q8 e-tron,New,2024,83630.0,c,0.0,Electric,5.0,Automatic,Premium,SUV,4.0,Glacier White Metallic,Pearl Beige,All-wheel Drive,11.334157586375571
291,2024 Audi Q8 e-tron Premium,Audi,Q8 e-tron,New,2024,89780.0,c,0.0,Electric,5.0,Automatic,Premium,SUV,4.0,Glacier White Metallic,Black,All-wheel Drive,11.405117512335924
307,2024 Audi Q8 e-tron Premium,Audi,Q8 e-tron,New,2024,84465.0,c,0.0,Electric,5.0,Automatic,Premium,SUV,4.0,Glacier White Metallic,Okapi Brown,All-wheel Drive,11.344092526356828
563,2024 Audi Q8 e-tron Premium,Audi,Q8 e-tron,New,2024,84530.0,c,0.0,Electric,5.0,Automatic,Premium,SUV,4.0,Glacier White Metallic,Okapi Brown,All-wheel Drive,11.344861779922974
96,2024 Audi Q5 e 55 Premium Plus,Audi,Q5 e,New,2024,73020.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,12.0,7-Speed Automatic S tronic,55 Premium Plus,SUV,4.0,Gray Metallic,Black,All-wheel Drive,11.198488655209628
320,2024 Audi Q5 e Premium 55 TFSI e S line quattro S tronic,Audi,Q5 e,New,2024,69995.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,12.0,7-Speed Automatic S tronic,Premium 55 TFSI e S line quattro S tronic,SUV,4.0,Daytona Gray Pearl,Gray,All-wheel Drive,11.156179089908926
449,2024 Audi Q5 e 55 Prestige,Audi,Q5 e,New,2024,78695.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,12.0,7-Speed Automatic S tronic,55 Prestige,SUV,4.0,Silver Metallic,Black,All-wheel Drive,11.273334899985702
795,2024 Audi Q5 e 55 Premium Plus,Audi,Q5 e,New,2024,73360.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,12.0,7-Speed Automatic S tronic,55 Premium Plus,SUV,4.0,Glacier White,Black,All-wheel Drive,11.203134106930346
219,2024 Honda Prologue TOURING,Honda,Prologue,New,2024,55800.0,c,0.0,Electric,8.0,1-Speed Automatic,TOURING,SUV,4.0,BX,Gray,All-wheel Drive,10.929529148369403
315,2024 Honda Prologue TOURING,Honda,Prologue,New,2024,56550.0,c,0.0,Electric,1.0,1-Speed Automatic,TOURING,SUV,4.0,Gray,Black,All-wheel Drive,10.942880481544266
489,2024 Honda Prologue TOURING,Honda,Prologue,New,2024,55800.0,c,0.0,Electric,8.0,1-Speed Automatic,TOURING,SUV,4.0,Pearl,Black,All-wheel Drive,10.929529148369403
490,2024 Honda Prologue TOURING,Honda,Prologue,New,2024,55800.0,c,0.0,Electric,8.0,1-Speed Automatic,TOURING,SUV,4.0,Gray,Black,All-wheel Drive,10.929529148369403
